//Index   Message
858       "Sala iniciante! Saindo em %d segundo(s)"
859       "Você não pode acessar essa sala! Saindo em %d segundo(s)"
860	  "[QUEST] Parabéns, você já concluiu essa quest!"
861       "Você está pk e não pode usar"
862       "O personagem está pk e não pode usar"
863       "[GvGEvent] fecha em %d minuto(s)"
864       "Entrada para o Evento Guild vs Guild"
865       "[GvGEvent] fechou!"
866       "[GvGEvent] começa em %d minuto(s)"
867       "[GvGEvent] começou!"
868       "[GvGEvent] acabou!"
869       "[GvGEvent] Você não pode entrar!"
870       "[GvGEvent] Não está aberto!"
871       "[GvGEvent] Você não tem o item necessário para entrar!"
872       "[GvGEvent] Você precisa estar em uma guild!"
873       "[GvGEvent] O GameMaster da guild deve entrar primeiro!"
874       "[GvGEvent] %d ponto(s) para a guild %s!"
875       "[GvGEvent] Cancelado!"
876       "[GvGEvent] A Guild %s venceu o evento!"
877	  "[ExchangeCoin] Valor necessário: %d WC!"
878	  "[ExchangeCoin] Valor necessário: %d WP!"
879	  "[ExchangeCoin] Valor necessário: %d GP!"
880	  "[ExchangeCoin] Troca realizada com sucesso!"
881	  "[AutoParty] Você não é o dono da party!"
882	  "[AutoParty] Escolha uma senha entre 1 e 9999!"
883	  "[AutoParty] Essa senha já está sendo utilizada, escolha outra!"
884	  "[AutoParty] Senha definida com sucesso!"
885	  "[AutoParty] Senha inválida!"
886	  "[AutoParty] Você já está em uma party!"
887	  "[AutoParty] Você entrou na party!"
888	  "[AutoParty] Party criada!"
889	  "[AutoParty] Party cheia!"
890       "Necessário: Level %d"
891       "Não disponível com Level %d ou +"
892       "Necessário: %d Reset(s)"
893       "Não disponível com %d Reset(s) ou +"
894       "Você não tem o plano VIP necessário!"
895	  "Você não tem a patente necessária para utilizar!"
896	  "Item necessário: %s"
897	  "Chat do personagem %s bloqueado por %d minuto(s)!"
898 	  "Usage: [/blocchat Name Minutes]!"
899       "[Battle Royale] fecha em %d minuto(s)"
900       "Entrada para o Evento Battle Royale"
901       "[Battle Royale] fechou!"
902       "[Battle Royale] começa em %d minuto(s)"
903       "[Battle Royale] começou!"
904       "[Battle Royale] acabou!"
905       "[Battle Royale] Você não pode entrar!"
906       "[Battle Royale] Não está aberto!"
907       "[Battle Royale] Você não tem o item necessário para entrar!"
908       "[Battle Royale] Restam %d personagen(s)!"
909       "[Battle Royale] Cancelado!"
910       "[Battle Royale] O Personagem %s venceu o evento!"
911	  "%s Pk level %d!"
912 	  "Usage: [/setpk Name Level(1~6)]!"
913	  "Você não pode usar nesse Mapa!"
914	  "Você não tem o plano vip necessário para utilizar esse mapa!"
915	  "Você não tem a classe necessária para usar!"
916       "¡Aparecieron los Conejos blancos, a casarlos"
917       "¡%s jugador derrotó al conejo blanco!"
918        "¡Apareció Fire Flame Ghost, derrótalo!"
919    "¡%s jugador derrotó al Fire Flame Ghost!"
end
